pmid,annotation
31400855,"Copper nanoparticles promote rapid [[wound healing]] in acute full thickness defect via acceleration of skin cell [[migration]], [[proliferation]], and [[neovascularization]]."
26239104,Inactivation of INK4a and ARF induces [[myocardial proliferation]] and improves [[cardiac repair]] following ischemia-reperfusion.
31980634,Erythroid differentiation regulator-1 induced by microbiota in early life drives [[intestinal stem cell proliferation]] and [[regeneration]].
32392778,IL-4 and SDF-1 Increase Adipose Tissue-Derived Stromal Cell Ability to Improve Rat [[Skeletal Muscle Regeneration]].
30692273,Zfp423 Regulates [[Skeletal Muscle Regeneration]] and [[Proliferation]].
33989451,"Downregulation of SUMO2 inhibits [[hepatocellular carcinoma cell proliferation]], [[migration]] and [[invasion]]."
24356704,Galectin-3 enhances [[epithelial cell adhesion]] and [[wound healing]] in rat cornea.
31173246,Inhibition of USP4 attenuates pathological scarring by downregulation of the TGF-beta/Smad signaling pathway.
24806621,"MiR-1246 promotes SiHa cervical cancer cell [[proliferation]], [[invasion]], and [[migration]] through suppression of its target gene thrombospondin 2."
24213582,PAX3-NCOA2 fusion gene has a dual role in promoting the [[proliferation]] and inhibiting the [[myogenic differentiation]] of rhabdomyosarcoma cells.
30218983,Skin-permeable liposome improved stability and [[permeability]] of bFGF against skin of mice with deep second degree scald to promote [[hair follicle neogenesis]] through inhibition of scar formation.
32235125,"Gene Suppression of the Chloride Channel 2 Suppressed [[TGF-beta1-Induced Proliferation]], [[Collagen Synthesis]], and [[Collagen Gel Contraction]] Mediated by Conjunctival Fibroblasts."
25057055,Thrombin selectively induces transcription of genes in human monocytes involved in [[inflammation]] and [[wound healing]].
29386876,"Bortezomib inhibits [[proliferation]], [[migration]], and TGF-beta1-induced [[epithelial-mesenchymal transition]] of RPE cells."
34568499,KLF4 Promotes Diabetic Chronic Wound Healing by Suppressing [[Th17 Cell Differentiation]] in an MDSC-Dependent Manner.
32896205,TMEM48 promotes [[cell proliferation]] and [[invasion]] in cervical cancer via activation of the Wnt/beta-catenin pathway.
28754105,GIT1 gene deletion delays [[chondrocyte differentiation]] and healing of tibial plateau fracture through suppressing [[proliferation]] and apoptosis of [[chondrocyte]].
37565543,Topical metformin accelerates [[wound healing]] by promoting [[collagen synthesis]] and inhibiting apoptosis in a diabetic wound model.
29442033,MiR-224 promotes [[proliferation]] and [[migration]] of gastric cancer cells through targeting PAK4.
28195449,Effects of resveratrol on the expression of molecules related to the mTOR signaling pathway in pathological scar fibroblasts.
34656060,Ascorbic acid ameliorates corneal endothelial dysfunction and enhances [[cell proliferation]] via the noncanonical GLUT1-ERK axis.
34875533,Lysyl hydroxylase 2 deficiency promotes filopodia formation and [[fibroblast migration]].
29164558,Rapamycin facilitates fracture healing through inducing [[cell autophagy]] and suppressing [[cell apoptosis]] in bone tissues.
25928257,miR-221 facilitates the TGFbeta1-induced [[epithelial-mesenchymal transition]] in human bladder cancer cells by targeting STMN1.
33988258,Inhibiting PHD2 in human periodontal ligament cells via lentiviral vector-mediated [[RNA interference]] facilitates cell [[osteogenic differentiation]] and periodontal repair.
26088755,Elevated TGF-beta1 and -beta2 expression accelerates the [[epithelial to mesenchymal transition]] in triple-negative breast cancer cells.
29849046,Topical small molecule granzyme B inhibitor improves [[remodeling]] in a murine model of impaired [[burn wound healing]].
31922245,FoxO3a depletion accelerates cutaneous [[wound healing]] by regulating [[epithelial-mesenchymal transition]] through beta-catenin activation.
34308764,Mast cell tryptase enhances [[wound healing]] by promoting [[migration]] in human bronchial epithelial cells.
34808236,Angiogenin Released from ABCB5+ Stromal Precursors Improves Healing of Diabetic Wounds by Promoting [[Angiogenesis]].
30745845,TRIB3 Promotes the [[Proliferation]] and [[Invasion]] of Renal Cell Carcinoma Cells via Activating [[MAPK Signaling Pathway]].
30106094,Long non-coding RNA SNHG20 promotes bladder cancer via activating the [[Wnt/beta-catenin signalling pathway]].
27422612,Activation of Dopamine D1 Receptors in Dermal Fibroblasts Restores [[Vascular Endothelial Growth Factor-A Production]] by These Cells and Subsequent [[Angiogenesis]] in Diabetic Cutaneous Wound Tissues.
35280679,LncRNA-COX2 inhibits [[Fibroblast Activation]] and Epidural Fibrosis by Targeting EGR1.
31028751,Nicotinamide inhibits [[corneal endothelial mesenchymal transition]] and accelerates [[wound healing]].
33819486,Bone Morphogenetic Protein Pathway Antagonism by Grem1 Regulates [[Epithelial Cell Fate]] in [[Intestinal Regeneration]].
25414484,Functional MMP-10 is required for efficient [[tissue repair]] after experimental hind limb ischemia.
27869327,The Selective Serotonin Reuptake Inhibitor Fluoxetine Directly Inhibits [[Osteoblast Differentiation]] and [[Mineralization]] During Fracture Healing in Mice.
32016450,Silencing of RIPK4 inhibits [[epithelial-mesenchymal transition]] by inactivating the [[Wnt/beta-catenin signaling pathway]] in osteosarcoma.
31929367,Long non-coding RNA HOTAIRM1 promotes [[proliferation]] and inhibits [[apoptosis]] of glioma cells by regulating the miR-873-5p/ZEB2 axis.
36323953,Overexpression of VEGF in dermal fibroblast cells accelerates the [[angiogenesis]] and [[wound healing]] function: in vitro and in vivo studies.
24998588,"Luteolin arrests cell cycling, induces [[apoptosis]] and inhibits the JAK/STAT3 pathway in human cholangiocarcinoma cells."
24710357,"Oncostatin M mediates STAT3-dependent intestinal epithelial restitution via increased [[cell proliferation]], decreased [[apoptosis]] and upregulation of SERPIN family members."
27472295,"Effect of connexin 43 inhibition by the mimetic peptide Gap27 on [[corneal wound healing]], [[inflammation]] and [[neovascularization]]."
28233384,"Platelet rich plasma promotes [[skeletal muscle cell migration]] in association with up-regulation of FAK, paxillin, and F-Actin formation."
35364624,Amniotic fluid derived stem cells promote [[skin regeneration]] and alleviate scar formation through [[exosomal]] miRNA-146a-5p via targeting CXCR4.
30131176,Thioredoxin-1 augments [[wound healing]] and promote [[angiogenesis]] in a murine ischemic full-thickness wound model.
32342982,ADSC-Exos containing MALAT1 promotes [[wound healing]] by targeting miR-124 through activating [[Wnt/beta-catenin pathway]].
30008599,Morphine Induces [[Fibroblast Activation]] through Up-regulation of Connexin 43 Expression: Implication of [[Fibrosis]] in [[Wound Healing]].
32319539,EOFAZ inhibits [[endothelial-to-mesenchymal transition]] through downregulation of KLF4.
31199884,"MiR-19a enhances [[cell proliferation]], [[migration]], and invasiveness through enhancing [[lymphangiogenesis]] by targeting thrombospondin-1 in colorectal cancer."
34550317,EGFR-mediated [[epidermal stem cell motility]] drives [[skin regeneration]] through COL17A1 proteolysis.
27804234,Chitosan promotes [[aquaporin formation]] and inhibits [[mucociliary differentiation]] of nasal epithelial cells through increased TGF-beta1 production.
26371858,"The anacardic 6-pentadecyl salicylic acid induces [[macrophage activation]] via the phosphorylation of ERK1/2, JNK, P38 kinases and NF-kappaB."
35404150,Abaloparatide Improves Rotator Cuff Healing via Anabolic Effects on [[Bone Remodeling]] in a Chronic Rotator Cuff Tear Model of Rat With Osteoporosis: A Comparison With Denosumab.
